1.1 a,1.1 b,1.2 b,1.3 b,2.1 b,2.2 b,2.3 b,3.1b,3.2 b,3.3 b,4 b 
94,2.8,2.5,0,0,0.4,0,6.8,12.3,46.6,0
95,2.8,2.5,0,0,0.4,0,6.8,12.3,46.6,0
96,2.9,2.5,0,0,0.4,0,6.8,12.3,46.7,0
97,2.8,2.5,0,0,0.4,0,6.8,12.3,46.6,0
98,2.9,2.5,0,0,0.4,0,6.8,12.3,46.6,0
99,2.8,2.5,0,0,0.4,0,6.8,12.3,46.6,0
100,2.9,2.5,0,0,0.4,0,6.8,12.3,46.7,0
101,2.7,2.5,0,0,0.4,0,6.8,12.3,46.6,0
102,2.8,2.5,0,0,0.4,0,6.8,12.3,46.7,0
103,2.8,2.5,0,0,0.4,0,6.8,12.3,46.7,0
104,2.8,2.5,0,0,0.4,0,6.8,12.3,46.8,0
105,2.8,2.5,0,0,0.4,0,6.8,12.3,46.7,0
106,2.8,2.5,0,0,0.4,0,6.8,12.3,46.8,0
107,2.7,2.5,0,0,0.4,0,6.8,12.3,46.8,0
108,2.8,2.5,0,0,0.4,0,6.8,12.4,46.8,0
109,2.8,2.5,0,0,0.4,0,6.8,12.3,46.8,0
110,2.8,2.5,0,0,0.4,0,6.8,12.4,46.8,0
111,2.9,2.5,0,0,0.4,0,6.8,12.4,46.8,0
112,2.9,2.5,0,0,0.4,0,6.8,12.3,46.8,0
113,2.7,2.5,0,0,0.4,0,6.8,12.4,46.9,0
114,2.8,2.5,0,0,0.4,0,6.8,12.4,47,0
115,2.8,2.5,0,0,0.4,0,6.8,12.4,46.9,0
116,2.9,2.5,0,0,0.4,0,6.8,12.4,47,0
117,2.8,2.5,0,0,0.4,0,6.8,12.4,46.9,0
118,2.8,2.5,0,0,0.4,0,6.8,12.4,47,0
119,2.8,2.5,0,0,0.4,0,6.8,12.4,47,0
120,2.9,2.5,0,0,0.4,0,6.8,12.5,47.1,0
121,2.8,2.5,0,0,0.4,0,6.8,12.4,47,0
122,2.9,2.5,0,0,0.4,0,6.8,12.5,47,0
123,2.8,2.5,0,0,0.4,0,6.8,12.5,47,0
124,2.9,2.5,0,0,0.4,0,6.8,12.5,47,0
125,2.9,2.5,0,0,0.4,0,6.8,12.4,47,0
126,2.9,2.5,0,0,0.4,0,6.8,12.4,47.1,0
127,2.9,2.5,0,0,0.4,0,6.8,12.4,47,0
128,3.3,2.9,0,0.1,0.4,0,6.8,12.7,47.4,0
129,3.2,2.9,0,0,0,0,6.8,12.6,47.2,0
130,3.2,2.9,0,0,0,0,6.8,12.5,47.2,0
131,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
132,3.2,2.8,0,0,0,0,6.8,12.6,47.2,0
133,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
134,3.2,2.8,0,0,0,0,6.8,12.6,47.2,0
135,3.2,2.8,0,0,0,0,6.8,12.5,47.1,0
136,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
137,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
138,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
139,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
140,3.2,2.8,0,0,0,0,7.2,12.5,47.2,0
141,3.2,2.8,0,0,0,0,6.8,12.5,47.2,0
142,3.2,2.8,0,0,0,0,6.8,12.6,47.2,0
143,3.2,2.8,0,0,0,0,6.8,12.6,47.3,0
144,3.2,2.8,0,0,0,0,6.8,12.6,47.3,0
145,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
146,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
147,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
148,3.2,2.9,0,0,0,0,6.8,12.6,47.2,0
149,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
150,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
151,3.2,2.9,0,0,0,0,6.8,12.5,47.3,0
152,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
153,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
154,3.2,2.9,0,0,0,0,6.8,12.6,47.3,0
155,3.2,2.9,0,0,0,0,6.8,12.6,47.4,0
156,3.3,2.9,0,0,0,0,6.8,12.6,47.4,0
157,3.3,2.9,0,0,0,0,6.8,12.6,47.4,0
158,3.3,3,0,0,0,0,6.8,12.6,47.5,0
159,3.3,3,0,0,0,0,6.8,12.6,47.5,0
160,3.3,3,0,0,0,0,6.8,12.6,47.5,0
161,3.3,3,0,0,0,0,6.8,12.6,47.5,0
162,3.3,3,0,0,0,0,6.8,12.6,47.5,0
163,3.3,3,0,0,0,0,6.8,12.6,47.4,0
164,3.3,3,0,0,0,0,6.8,12.6,47.5,0
165,3.3,3,0,0,0,0,6.8,12.6,47.4,0
166,3.3,3,0,0,0,0,6.8,12.6,47.5,0
167,3.3,3,0,0,0,0,6.8,12.6,47.5,0
168,3.3,3,0,0,0,0,6.8,12.6,47.5,0
169,3.3,3,0,0,0,0,6.8,12.6,47.5,0
170,3.3,3,0,0,0,0,7.2,12.7,47.6,0
171,3.3,3,0,0,0,0,7.2,12.7,47.6,0
172,3.3,3,0,0,0,0,7.2,12.7,47.6,0
173,3.3,3,0,0,0,0,7.2,12.6,47.6,0
174,3.3,3,0,0,0,0,7.2,12.6,47.6,0
175,3.3,3,0,0,0,0,7.2,12.6,47.6,0
176,3.3,3,0,0,0,0,7.2,12.6,47.7,0
177,3.3,3,0,0,0,0,7.2,12.7,47.7,0
178,3.3,3,0,0,0,0,7.2,12.7,47.7,0
179,3.3,3,0,0,0,0,7.2,12.7,47.6,0
180,3.3,3,0,0,0,0,7.2,12.7,47.7,0
181,3.3,3,0,0,0,0,7.2,12.6,47.6,0
182,3.3,3,0,0,0,0,7.2,12.7,47.7,0
183,3.3,3,0,0,0,0,7.2,12.6,47.7,0
184,3.3,3,0,0,0,0,7.2,12.6,47.7,0
185,3.3,3,0,0,0,0,7.2,12.6,47.7,0
186,3.4,3,0,0,0,0,7.2,12.6,47.8,0
187,3.4,3,0,0,0,0,7.2,12.6,47.8,0
188,3.5,3,0,0,0,0,7.2,12.7,47.8,0
189,3.5,3,0,0,0,0,7.2,12.7,47.8,0
190,3.5,3,0,0,0,0,7.2,12.7,47.8,0
191,3.6,3,0,0,0,0,7.2,12.7,47.8,0
192,3.8,3.3,0,0.1,0.4,0.4,6.8,12.8,48,0.1
193,3.7,3.2,0,0,0,0,6.8,12.7,47.8,0
194,3.7,3.2,0,0,0,0,6.8,12.7,47.8,0
195,3.7,3.2,0,0,0,0,6.8,12.7,47.8,0
196,3.7,3.2,0,0,0,0,6.8,12.7,47.8,0
197,3.7,3.2,0,0,0,0,6.8,12.7,47.8,0
198,3.7,3.2,0,0,0,0,6.8,12.7,47.8,0
199,3.7,3.1,0,0,0,0,6.8,12.7,47.8,0
200,3.7,3.1,0,0,0,0,6.8,12.7,47.8,0
201,3.7,3.1,0,0,0,0,6.8,12.7,47.8,0
202,3.7,3.1,0,0,0,0,6.8,12.7,47.9,0
203,3.7,3.1,0,0,0,0,6.8,12.7,47.9,0
204,3.7,3.1,0,0,0,0,6.8,12.7,47.9,0
205,3.7,3.1,0,0,0,0,6.8,12.7,47.9,0
206,3.7,3.1,0,0,0,0,6.8,12.7,48,0
207,3.7,3.1,0,0,0,0,6.8,12.7,48,0
208,3.7,3.1,0,0,0,0,7.2,12.7,47.9,0
209,3.7,3.1,0,0,0,0,7.2,12.7,47.9,0
210,3.7,3.1,0,0,0,0,7.2,12.7,47.9,0
211,3.7,3.1,0,0,0,0,7.2,12.7,47.9,0
212,3.7,3.1,0,0,0,0,7.2,12.7,48,0
213,3.7,3.1,0,0,0,0,7.2,12.7,48,0
214,3.8,3.1,0,0,0,0,7.2,12.7,48,0
215,3.9,3.1,0,0,0,0,7.2,12.7,48,0
216,4,3.1,0,0,0,0,7.2,12.7,48,0
217,4,3.1,0,0,0,0,7.2,12.7,48,0
218,4,3.1,0,0,0,0,7.2,12.7,48.1,0
219,4,3.1,0,0,0,0,7.2,12.7,48.1,0
220,4,3.1,0,0,0,0,7.2,12.7,48.1,0
221,4,3.1,0,0,0,0,7.2,12.7,48.1,0
222,4.1,3.1,0,0,0,0,7.2,12.7,48.1,0
223,4.1,3.1,0,0,0,0,7.2,12.7,48.1,0
224,4.1,3,0,0,0,0,7.2,12.7,48.2,0
225,4.1,2.9,0,0,0,0,7.2,12.7,48.1,0
226,4.3,2.9,0,0,0,0,7.2,12.8,48.1,0
