method,function,point,stepsize,num_d,anal_d,rel_error
Forward Differrence,cos(x),5,0.3141592653589793,0.8990359756378464,0.9589242746631385,0.062453627056557985
Forward Differrence,cos(x),5,0.23561944901923454,0.9168123359241219,0.9589242746631385,0.04391581259511871
Forward Differrence,cos(x),5,0.15707963267948977,0.932752714074104,0.9589242746631385,0.0272926249554255
Forward Differrence,cos(x),5,0.078539816339745,0.9468050611369259,0.9589242746631385,0.012638342616230007
Forward Differrence,cos(x),5,2.220446049250313e-16,0.0,0.9589242746631385,1.0
Forward Differrence,cos(x),10,0.3141592653589793,0.6658369665942694,0.5440211108893698,0.22391751582168226
Forward Differrence,cos(x),10,0.23561944901923454,0.6373956816486234,0.5440211108893698,0.17163777083320195
Forward Differrence,cos(x),10,0.15707963267948977,0.6075518048199419,0.5440211108893698,0.11677983199348944
Forward Differrence,cos(x),10,0.078539816339745,0.5763953116415134,0.5440211108893698,0.059509089085197454
Forward Differrence,cos(x),10,2.220446049250313e-16,0.0,0.5440211108893698,1.0
Forward Differrence,cos(x),15,0.3141592653589793,-0.521290437425175,-0.6502878401571168,0.19836969841043714
Forward Differrence,cos(x),15,0.23561944901923454,-0.5552022318015758,-0.6502878401571168,0.14622080021143757
Forward Differrence,cos(x),15,0.15707963267948977,-0.5880737685994042,-0.6502878401571168,0.09567158989576219
Forward Differrence,cos(x),15,0.078539816339745,-0.6198019535549466,-0.6502878401571168,0.046880603818156105
Forward Differrence,cos(x),15,2.220446049250313e-16,0.0,-0.6502878401571168,1.0
Forward Differrence,cos(x),20,0.3141592653589793,-0.9615777360764879,-0.9129452507276277,0.05326988152914929
Forward Differrence,cos(x),20,0.23561944901923454,-0.9523754385424221,-0.9129452507276277,0.04319009029661763
Forward Differrence,cos(x),20,0.15707963267948977,-0.9411803856489471,-0.9129452507276277,0.030927522651348193
Forward Differrence,cos(x),20,0.078539816339745,-0.9280240650410604,-0.9129452507276277,0.0165166687722125
Forward Differrence,cos(x),20,2.220446049250313e-16,0.0,-0.9129452507276277,1.0
Forward Differrence,$e^x$,5,0.3141592653589793,174.371588961882,148.4131591025766,0.1749065245714774
Forward Differrence,$e^x$,5,0.23561944901923454,167.3557596430895,148.4131591025766,0.12763423846682365
Forward Differrence,$e^x$,5,0.15707963267948977,160.70456652886554,148.4131591025766,0.0828188517825004
Forward Differrence,$e^x$,5,0.078539816339745,154.39695500209163,148.4131591025766,0.04031849962427722
Forward Differrence,$e^x$,5,2.220446049250313e-16,0.0,148.4131591025766,1.0
Forward Differrence,$e^x$,10,0.3141592653589793,25879.038375568878,22026.465794806718,0.17490652457147707
Forward Differrence,$e^x$,10,0.23561944901923454,24837.7969826423,22026.465794806718,0.1276342384668185
Forward Differrence,$e^x$,10,0.15707963267948977,23850.672400759253,22026.465794806718,0.08281885178250596
Forward Differrence,$e^x$,10,0.078539816339745,22914.539847678767,22026.465794806718,0.04031849962427628
Forward Differrence,$e^x$,10,2.220446049250313e-16,0.0,22026.465794806718,1.0
Forward Differrence,$e^x$,15,0.3141592653589793,3840789.8398549897,3269017.3724721107,0.17490652457147718
Forward Differrence,$e^x$,15,0.23561944901923454,3686255.9153423887,3269017.3724721107,0.12763423846681857
Forward Differrence,$e^x$,15,0.15707963267948977,3539753.6377173164,3269017.3724721107,0.08281885178250624
Forward Differrence,$e^x$,15,0.078539816339745,3400819.2481758837,3269017.3724721107,0.040318499624277374
Forward Differrence,$e^x$,15,2.220446049250313e-16,0.0,3269017.3724721107,1.0
