method,function,point,stepsize,num_d,anal_d,rel_error
Central Difference,$e^x$,10,0.3141592653589793,22117.157819229305,22026.465794806718,0.004117411538803036
Central Difference,$e^x$,10,0.23561944901923454,22077.452532595576,22026.465794806718,0.002314794314432412
Central Difference,$e^x$,10,0.15707963267948977,22049.117832609943,22026.465794806718,0.001028400925243591
Central Difference,$e^x$,10,0.078539816339745,22032.12749446023,22026.465794806718,0.0002570407666057381
Central Difference,$e^x$,10,2.220446049250313e-16,0.0,22026.465794806718,1.0
Central Difference,$e^x$,15,0.3141592653589793,3282477.2623220757,3269017.3724721107,0.004117411538803264
Central Difference,$e^x$,15,0.23561944901923454,3276584.4752996895,3269017.3724721107,0.002314794314432277
Central Difference,$e^x$,15,0.15707963267948977,3272379.2329626004,3269017.3724721107,0.0010284009252442211
Central Difference,$e^x$,15,0.078539816339745,3269857.643203581,3269017.3724721107,0.00025704076660660707
Central Difference,$e^x$,15,2.220446049250313e-16,0.0,3269017.3724721107,1.0
Central Difference,$e^x$,20,0.3141592653589793,487162820.18359625,485165195.4097903,0.004117411538803192
Central Difference,$e^x$,20,0.23561944901923454,486288253.045678,485165195.4097903,0.0023147943144173023
Central Difference,$e^x$,20,0.15707963267948977,485664139.7456459,485165195.4097903,0.001028400925243977
Central Difference,$e^x$,20,0.078539816339745,485289902.6435275,485165195.4097903,0.00025704076656178415
Central Difference,$e^x$,20,2.220446049250313e-16,0.0,485165195.4097903,1.0
Central Difference for second derivative,cos(x),5,0.3141592653589793,-0.2813368193434005,0.9589242746631385,1.2933879418604055
Central Difference for second derivative,cos(x),5,0.23561944901923454,-0.2823522833587621,0.9589242746631385,1.294446903492927
Central Difference for second derivative,cos(x),5,0.15707963267948977,-0.2830794079711308,0.9589242746631385,1.2952051746427777
Central Difference for second derivative,cos(x),5,0.078539816339745,-0.28351640119417787,0.9589242746631385,1.2956608865635137
Central Difference for second derivative,cos(x),5,2.220446049250313e-16,0.0,0.9589242746631385,1.0
Central Difference for second derivative,cos(x),10,0.3141592653589793,0.832193106058458,0.5440211108893698,0.5297073760574887
Central Difference for second derivative,cos(x),10,0.23561944901923454,0.8351968442645212,0.5440211108893698,0.5352287393758216
Central Difference for second derivative,cos(x),10,0.15707963267948977,0.8373476757521222,0.5440211108893698,0.5391823203022764
Central Difference for second derivative,cos(x),10,0.078539816339745,0.8386402998332769,0.5440211108893698,0.5415583753032331
Central Difference for second derivative,cos(x),10,2.220446049250313e-16,0.0,0.5440211108893698,1.0
Central Difference for second derivative,cos(x),15,0.3141592653589793,0.7534602497273473,-0.6502878401571168,2.1586565259244317
Central Difference for second derivative,cos(x),15,0.23561944901923454,0.7561798076308913,-0.6502878401571168,2.162838609204487
Central Difference for second derivative,cos(x),15,0.15707963267948977,0.7581271513639386,-0.6502878401571168,2.1658331965438054
Central Difference for second derivative,cos(x),15,0.078539816339745,0.7592974817306921,-0.6502878401571168,2.1676329078323797
Central Difference for second derivative,cos(x),15,2.220446049250313e-16,0.0,-0.6502878401571168,1.0
Central Difference for second derivative,cos(x),20,0.3141592653589793,-0.40473674386380737,-0.9129452507276277,0.556669204926333
Central Difference for second derivative,cos(x),20,0.23561944901923454,-0.4061976105930461,-0.9129452507276277,0.5550690358821605
Central Difference for second derivative,cos(x),20,0.15707963267948977,-0.4072436665223107,-0.9129452507276277,0.5539232323102257
Central Difference for second derivative,cos(x),20,0.078539816339745,-0.4078723336643887,-0.9129452507276277,0.553234618024126
Central Difference for second derivative,cos(x),20,2.220446049250313e-16,0.0,-0.9129452507276277,1.0
Central Difference for second derivative,$e^x$,5,0.3141592653589793,149.63783127000306,148.4131591025766,0.008251776155374625
Central Difference for second derivative,$e^x$,5,0.23561944901923454,149.10104621451245,148.4131591025766,0.004634946901577734
Central Difference for second derivative,$e^x$,5,0.15707963267948977,148.71857252586778,148.4131591025766,0.002057859458945259
Central Difference for second derivative,$e^x$,5,0.078539816339745,148.48946537260804,148.4131591025766,0.0005141476031697321
Central Difference for second derivative,$e^x$,5,2.220446049250313e-16,0.0,148.4131591025766,1.0
Central Difference for second derivative,$e^x$,10,0.3141592653589793,22208.223260039435,22026.465794806718,0.008251776155372618
Central Difference for second derivative,$e^x$,10,0.23561944901923454,22128.557294194776,22026.465794806718,0.004634946901564591
Central Difference for second derivative,$e^x$,10,0.15707963267948977,22071.79316578973,22026.465794806718,0.0020578594589469148
Central Difference for second derivative,$e^x$,10,0.078539816339745,22037.79064940106,22026.465794806718,0.0005141476031535019
Central Difference for second derivative,$e^x$,10,2.220446049250313e-16,0.0,22026.465794806718,1.0
Central Difference for second derivative,$e^x$,15,0.3141592653589793,3295992.5720777824,3269017.3724721107,0.008251776155374906
Central Difference for second derivative,$e^x$,15,0.23561944901923454,3284169.0944138253,3269017.3724721107,0.0046349469015689385
Central Difference for second derivative,$e^x$,15,0.15707963267948977,3275744.550793502,3269017.3724721107,0.0020578594589431894
Central Difference for second derivative,$e^x$,15,0.078539816339745,3270698.129918952,3269017.3724721107,0.000514147603189489
Central Difference for second derivative,$e^x$,15,2.220446049250313e-16,0.0,3269017.3724721107,1.0
Central Difference for second derivative,$e^x$,20,0.3141592653589793,489168670.00069577,485165195.4097903,0.00825177615538557
Central Difference for second derivative,$e^x$,20,0.23561944901923454,487413910.32900965,485165195.4097903,0.004634946901580643
Central Difference for second derivative,$e^x$,20,0.15707963267948977,486163597.1963187,485165195.4097903,0.002057859458952157
Central Difference for second derivative,$e^x$,20,0.078539816339745,485414641.93213695,485165195.4097903,0.0005141476031395506
Central Difference for second derivative,$e^x$,20,2.220446049250313e-16,0.0,485165195.4097903,1.0
